Percentage served,1,2,3,4,5
0,969.323,1928.581,1234.923,5570.477,6552.217
1,996.998,1957.005,2570.422,5759.800,7256.955
2,1025.873,1958.987,2671.555,5855.803,9035.040
3,1037.859,2057.167,3155.615,6987.329,10739.139
4,1056.936,2135.350,3390.641,7251.431,11831.219
5,1063.482,2176.195,4213.426,7536.165,12555.332
6,1088.147,2183.074,4412.344,7920.000,12964.835
7,1114.008,2227.230,4559.967,7982.361,13186.006
8,1128.174,2244.413,4593.955,8551.363,13466.734
9,1154.687,2294.325,6016.129,8705.400,13826.545
10,1158.533,2365.782,6182.146,8776.255,15414.277
11,1193.087,2446.773,6203.241,8793.213,16755.463
12,1252.105,2528.475,6435.232,9348.973,17149.542
13,1274.971,3390.812,6527.730,9445.700,17498.551
14,1275.688,3601.610,6545.229,9631.060,17948.514
15,1309.265,3710.112,6557.040,9773.788,18232.900
16,1324.441,3712.583,6561.963,9806.678,19831.335
17,1337.354,3726.718,6618.424,9866.081,19974.627
18,1351.709,4181.735,6920.816,9895.483,20081.750
19,1386.991,4724.781,7097.457,9950.214,20418.422
20,1389.981,4815.928,7329.238,9951.550,20444.351
21,1393.167,5224.534,7607.065,10004.255,20447.451
22,1401.085,5530.687,7632.549,10073.020,21084.697
23,1409.401,5590.428,8146.060,10149.206,21201.906
24,1452.506,5791.239,9023.380,10200.713,21908.622
25,1535.033,6874.537,9046.210,10296.509,22021.803
26,1551.902,6908.092,9077.751,10298.790,22231.499
27,1563.022,6928.691,9362.945,10415.625,23647.892
28,1592.014,7502.950,9400.537,10598.242,24053.020
29,1611.076,7922.035,9477.057,10836.246,24063.200
30,1643.844,9268.190,9565.160,11291.235,25626.627
31,1740.756,9564.453,9814.486,11954.083,25818.606
32,1760.324,9874.805,10446.885,12968.013,26173.178
33,1790.641,9894.200,11085.519,13492.823,26211.680
34,1927.732,10657.730,11419.987,16743.297,26259.528
35,1978.597,11783.001,11505.565,17312.110,26268.666
36,2063.777,11852.930,11748.455,17978.134,26452.867
37,2227.403,11924.931,11764.522,18169.252,26765.230
38,2351.761,11971.420,11786.160,18303.249,27037.745
39,2390.737,12004.044,11848.093,18385.122,27535.751
40,2390.793,12100.639,11911.975,18489.116,27755.484
41,2505.423,12143.710,12262.578,18519.729,27910.945
42,2523.457,12186.252,12358.149,18601.336,28141.649
43,2566.705,12188.497,12610.087,19469.950,28167.623
44,2640.746,12189.797,12627.606,19552.946,28302.013
45,2767.821,12280.954,12854.629,19554.279,28616.812
46,2877.370,12282.300,13139.913,20005.412,28824.270
47,2938.047,12305.635,14075.421,20008.852,28986.904
48,2950.974,12320.507,14226.207,20093.675,29050.360
49,3146.796,12337.852,14278.868,20107.459,29501.994
50,3792.132,12343.336,14630.915,20144.341,29502.195
51,3953.728,12417.532,15017.025,21052.785,29585.219
52,3956.089,12430.632,15449.511,21098.282,29632.615
53,4006.190,12432.509,15577.730,21272.120,29661.874
54,4071.788,12437.044,15624.105,21345.851,29726.875
55,4078.279,12472.526,16685.699,21410.005,29727.801
56,4143.842,12493.753,16861.942,21648.022,29824.012
57,4152.616,12493.777,17172.503,22678.526,29833.269
58,4159.405,12521.623,17497.663,22814.723,29919.465
59,4167.069,12569.912,17538.178,22963.998,30015.002
60,4225.499,12577.794,17566.463,22979.427,30174.600
61,4300.555,12608.892,18714.564,23593.332,30247.632
62,4316.200,12637.113,18856.114,23928.682,30833.753
63,4336.414,12672.437,18907.281,23935.908,30953.046
64,4403.296,12720.728,18989.352,24201.030,31086.411
65,4626.391,12815.510,19069.762,24407.929,31311.026
66,5088.615,12820.139,19133.031,24467.679,31329.482
67,5184.725,12823.144,19294.890,24774.706,31388.626
68,5521.719,12880.916,20175.469,25220.689,31407.790
69,5545.964,12890.695,20231.813,25587.638,31509.459
70,5562.872,12908.622,20336.020,25660.104,31705.443
71,5626.615,13254.478,20390.754,25695.338,32250.735
72,5695.073,13361.773,20487.012,25763.035,32609.795
73,5788.003,13423.775,20568.270,25764.324,32703.930
74,5840.606,13527.252,20612.574,26208.532,32780.109
75,5942.382,13548.389,20614.269,26320.338,32875.786
76,5966.182,13595.464,20623.903,26955.394,33033.585
77,5972.633,13619.596,20644.351,27010.557,33037.556
78,6044.302,13733.578,20739.820,27032.414,33363.207
79,6125.241,13760.359,20787.903,27282.657,33798.384
80,6142.100,13782.799,20914.093,27556.480,34361.944
81,6147.532,13805.152,20927.455,28347.843,34379.935
82,6236.341,13812.393,21817.324,28909.524,34528.212
83,6333.840,13831.166,21843.999,29156.598,34642.158
84,6532.550,13883.229,22026.580,29526.257,34701.363
85,7017.420,13884.434,22063.566,30082.784,34709.675
86,7056.315,13948.907,22212.087,30537.686,34736.728
87,7093.521,14052.740,22391.271,31563.482,34768.395
88,7133.307,14060.706,22408.587,31673.296,35522.083
89,7213.471,14061.708,22441.207,31976.244,35564.034
90,7214.855,14136.211,22448.123,32104.547,35998.688
91,7291.572,14249.704,22462.779,32119.852,36037.004
92,7297.071,14300.255,22569.419,32290.823,36207.156
93,7316.316,14459.317,23773.730,32300.227,36581.724
94,7430.838,14518.947,23825.210,32506.875,36632.180
95,7756.826,14538.543,23914.528,32647.541,37484.791
96,7894.117,14564.330,23966.486,33559.322,37683.001
97,8093.755,14603.745,24072.034,33606.574,37778.373
98,8205.847,15649.492,25245.762,35506.273,38544.307
99,11772.948,15843.363,25588.625,37407.346,39422.681
